RNAInterID,Interactor1.Symbol,Category1,Species1,Interactor2.Symbol,Category2,Species2,Raw_ID1,Raw_ID2,score,strong,weak,predict
RC00000106,AC138230.1,lncRNA,Homo sapiens,Doxorubicin,compound,,ENSG00000255237,31703,0.3087,MTT assay,Microarray,
RC00000061,BACE1-AS,lncRNA,Homo sapiens,5-Fluorouracil,compound,,100379571,3385,0.4322,qRT-PCR,,
RC00000011,CES1P1,pseudo,Homo sapiens,Cisplatin,compound,,51716,2767,0.3235,qRT-PCR//MTS assay,Microarray,
RC00000059,CFL1P3,pseudo,Homo sapiens,Gemcitabine,compound,,100131874,60750,0.3071,qRT-PCR,Microarray,
RC00000082,ELF3-AS1,lncRNA,Homo sapiens,Gemcitabine,compound,,102723465,60750,0.3071,qRT-PCR,Microarray,
RC00000086,ERICD,lncRNA,Homo sapiens,Etoposide,compound,,104355217,36462,0.3694,qRT-PCR,,
RC00000001,FOXO3B,pseudo,Homo sapiens,Cisplatin,compound,,2310,2767,0.2179,qPCR,Microarray,
RC00000068,GAS5-AS1,lncRNA,Homo sapiens,"[5-[2,4-Bis((3S)-3-methylmorpholin-4-yl)pyrido[2,3-d]pyrimidin-7-yl]-2-methoxyphenyl]methanol",compound,,100506046,25262965,0.4124,qPCR,,
RC00000062,GAS5-AS1,lncRNA,Homo sapiens,Cycloheximide,compound,,100506046,6197,0.2613,qRT-PCR,,
RC00000069,GAS5-AS1,lncRNA,Homo sapiens,Dactolisib Tosylate,compound,,100506046,49803145,0.4124,qPCR,,
RC00000063,GAS5-AS1,lncRNA,Homo sapiens,Docetaxel,compound,,100506046,148124,0.2783,qPCR,,
RC00000065,GAS5-AS1,lncRNA,Homo sapiens,Everolimus,compound,,100506046,6442177,0.4791,qRT-PCR//qPCR,,
RC00000067,GAS5-AS1,lncRNA,Homo sapiens,Nutlin-3A,compound,,100506046,11433190,0.2783,qPCR,,
RC00000064,GAS5-AS1,lncRNA,Homo sapiens,Sirolimus,compound,,100506046,5284616,0.4791,qRT-PCR//qPCR,,
RC00000066,GAS5-AS1,lncRNA,Homo sapiens,Temsirolimus,compound,,100506046,6918289,0.4791,qRT-PCR//qPCR,,
RC00000032,KRT17P5,pseudo,Homo sapiens,Cisplatin,compound,,339240,2767,0.2179,qPCR,Microarray,
RC00000044,LINC00595,lncRNA,Homo sapiens,Doxorubicin,compound,,414243,31703,0.3087,MTT assay,Microarray,
RC00000072,LINC01277,lncRNA,Homo sapiens,Cisplatin,compound,,100507489,2767,0.2179,qPCR,Microarray,
RC00000087,LINC01926,lncRNA,Homo sapiens,Gemcitabine,compound,,105372147,60750,0.3071,qRT-PCR,Microarray,
RC00000078,LOC100996732,lncRNA,Homo sapiens,Doxorubicin,compound,,100996732,31703,0.3087,MTT assay,Microarray,
RC00000084,LOC102724927,lncRNA,Homo sapiens,Doxorubicin,compound,,102724927,31703,0.3087,qRT-PCR//MTT assay,Microarray,
RC00000057,PSORS1C3,lncRNA,Homo sapiens,Cisplatin,compound,,100130889,2767,0.2179,qPCR,Microarray,
RC00000049,RNPS1P1,pseudo,Homo sapiens,Gefitinib,compound,,643446,123631,0.3168,qRT-PCR,,
RC00000083,TTC39C-AS1,lncRNA,Homo sapiens,Cisplatin,compound,,102724246,2767,0.2179,qPCR,Microarray,
RC00008300,aly-miR157c-5p,miRNA,Arabidopsis thaliana,Trichostatin A,compound,,MIMAT0017417,444732,0.3399,Northern blot,,
RC00001367,ath-miR158a-3p,miRNA,Arabidopsis thaliana,Taxoid elicitor methyl jasmonate (MJ),compound,,MIMAT0000176,5281929,0.2331,qPCR,,
RC00001370,ath-miR164a,miRNA,Arabidopsis thaliana,Taxoid elicitor methyl jasmonate (MJ),compound,,MIMAT0000185,5281929,0.2331,qPCR,,
RC00001375,ath-miR166a-3p,miRNA,Arabidopsis thaliana,Taxoid elicitor methyl jasmonate (MJ),compound,,MIMAT0000189,5281929,0.2331,qPCR,,
RC00001378,ath-miR167a-5p,miRNA,Arabidopsis thaliana,Taxoid elicitor methyl jasmonate (MJ),compound,,MIMAT0000196,5281929,0.2331,qPCR,,
RC00001380,ath-miR168a-5p,miRNA,Arabidopsis thaliana,Abscisic acid (ABA),compound,,MIMAT0000198,5280896,0.2415,Northern blot,,
RC00001381,ath-miR168a-5p,miRNA,Arabidopsis thaliana,Taxoid elicitor methyl jasmonate (MJ),compound,,MIMAT0000198,5281929,0.2331,qPCR,,
RC00001383,ath-miR169a-5p,miRNA,Arabidopsis thaliana,Abscisic acid (ABA),compound,,MIMAT0000200,5280896,0.2415,Northern blot,,
RC00001385,ath-miR172b-3p,miRNA,Arabidopsis thaliana,Taxoid elicitor methyl jasmonate (MJ),compound,,MIMAT0000205,5281929,0.2331,qPCR,,
RC00008658,bdo-let-7,miRNA,Homo sapiens,Gemcitabine,compound,,MIMAT0045392,60750,0.3684,qRT-PCR,,
RC00008657,bdo-let-7,miRNA,Homo sapiens,Paclitaxel,compound,,MIMAT0045392,36314,0.5339,qRT-PCR,,
RC00008655,bdo-let-7,miRNA,Homo sapiens,Temozolomide,compound,,MIMAT0045392,5394,0.4453,qPCR//ISH,,
RC00008656,bdo-let-7,miRNA,Homo sapiens,Vinblastine,compound,,MIMAT0045392,13342,0.4453,qPCR//ISH,,
RC00006782,bna-miR156a,miRNA,Brassica napus,Cadmium,compound,,MIMAT0004445,23973,0.2444,qPCR,,
RC00007655,bna-miR159,miRNA,Brassica napus,Cadmium,compound,,MIMAT0005635,23973,0.2444,qPCR,,
RC00008621,bna-miR160a,miRNA,Brassica napus,Cadmium,compound,,MIMAT0023617,23973,0.2444,qPCR,,
RC00008622,bna-miR164b,miRNA,Brassica napus,Cadmium,compound,,MIMAT0023622,23973,0.2444,qPCR,,
RC00007651,bna-miR167a,miRNA,Brassica napus,Cadmium,compound,,MIMAT0005626,23973,0.2444,qPCR,,
RC00007652,bna-miR167b,miRNA,Brassica napus,Cadmium,compound,,MIMAT0005627,23973,0.2444,qPCR,,
RC00007653,bna-miR167c,miRNA,Brassica napus,Cadmium,compound,,MIMAT0005628,23973,0.2444,qPCR,,
RC00007650,bna-miR168a,miRNA,Brassica napus,Cadmium,compound,,MIMAT0005625,23973,0.2444,qPCR,,
RC00008624,bna-miR394a,miRNA,Brassica napus,Cadmium,compound,,MIMAT0023634,23973,0.2444,qPCR,,
RC00008625,bna-miR394b,miRNA,Brassica napus,Cadmium,compound,,MIMAT0023635,23973,0.2444,qPCR,,
RC00007975,cfa-miR-133a,miRNA,Canis lupus familiaris,Nicotine,compound,,MIMAT0009834,89594,0.2562,qPCR,,
RC00007883,cfa-miR-590,miRNA,Canis lupus familiaris,Nicotine,compound,,MIMAT0006700,89594,0.2562,qPCR,,
RC00005214,dre-miR-107a-3p,miRNA,Danio rerio,"2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD)",compound,,MIMAT0001817,15625,0.2175,qRT-PCR,,
RC00005216,dre-miR-122,miRNA,Danio rerio,Acetaminophen,compound,,MIMAT0001818,1983,0.3391,TaqMan qPCR//ISH,,
RC00008780,dre-miR-133a-3p,miRNA,Danio rerio,Ethanol,compound,,MIMAT0001830,702,0.231,qPCR,,
RC00005230,dre-miR-133b-3p,miRNA,Danio rerio,Cocaine,compound,,MIMAT0001831,446220,0.284,qPCR,,
RC00005231,dre-miR-133b-3p,miRNA,Danio rerio,Morphine,compound,,MIMAT0001831,5288826,0.3417,qPCR,,
RC00005234,dre-miR-138-5p,miRNA,Danio rerio,Citrinin,compound,,MIMAT0001835,54680783,0.3381,qPCR,,
RC00005240,dre-miR-153a-3p,miRNA,Danio rerio,Ethanol,compound,,MIMAT0001849,702,0.231,qPCR,,
RC00004890,dre-miR-181b-5p,miRNA,Danio rerio,Perfluorooctane sulfonate,compound,,MIMAT0001270,74483,0.2128,qPCR,,
RC00004892,dre-miR-183-5p,miRNA,Danio rerio,Ethanol,compound,,MIMAT0001273,702,0.231,qPCR,,
RC00005187,dre-miR-19c-3p,miRNA,Danio rerio,Perfluorooctane sulfonate,compound,,MIMAT0001784,74483,0.2128,qPCR,,
RC00005189,dre-miR-19d-3p,miRNA,Danio rerio,Perfluorooctane sulfonate,compound,,MIMAT0001785,74483,0.2128,qPCR,,
RC00008661,dre-miR-212-3p,miRNA,Danio rerio,Cocaine,compound,,MIMAT0048651,446220,0.2825,qPCR//ISH,,
RC00008662,dre-miR-212-3p,miRNA,Danio rerio,Morphine,compound,,MIMAT0048651,5288826,0.2825,qPCR//ISH,,
RC00005192,dre-miR-22a-3p,miRNA,Danio rerio,Ethanol,compound,,MIMAT0001788,702,0.231,qPCR,,
RC00005204,dre-miR-27e,miRNA,Danio rerio,"2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD)",compound,,MIMAT0001800,15625,0.2175,qRT-PCR,,
RC00006629,dre-miR-735-3p,miRNA,Danio rerio,Perfluorooctane sulfonate,compound,,MIMAT0003766,74483,0.2128,qPCR,,
RC00006630,dre-miR-736,miRNA,Danio rerio,Ethanol,compound,,MIMAT0003767,702,0.231,qPCR,,
RC00006585,ebv-miR-BART16,miRNA,Human gammaherpesvirus 4,Tamoxifen,compound,,MIMAT0003714,2733526,0.3079,qPCR,Microarray,
RC00008652,efu-miR-128b,miRNA,Homo sapiens,Doxorubicin,compound,,MIMAT0035005,31703,0.3072,Western blot//qPCR,Microarray,
RC00008651,efu-miR-128b,miRNA,Homo sapiens,Verapamil,compound,,MIMAT0035005,2520,0.3072,Western blot//qPCR,Microarray,
RC00005059,hcmv-miR-US25-2-5p,miRNA,Human betaherpesvirus 5,Temozolomide,compound,,MIMAT0001582,5394,0.4458,RT-PCR,Microarray,
RC00000189,hsa-let-7a-5p,miRNA,Homo sapiens,Capecitabine,compound,,MIMAT0000062,60953,0.255,TaqMan miRNA assay,,
RC00000197,hsa-let-7a-5p,miRNA,Homo sapiens,Caudatin,compound,,MIMAT0000062,21633059,0.2589,qPCR,,
RC00000174,hsa-let-7a-5p,miRNA,Homo sapiens,Cisplatin,compound,,MIMAT0000062,2767,0.52,qPCR,Microarray//miRNA array,
RC00000193,hsa-let-7a-5p,miRNA,Homo sapiens,Curcumin,compound,,MIMAT0000062,969516,0.2807,qPCR,,
RC00000182,hsa-let-7a-5p,miRNA,Homo sapiens,Cytarabine,compound,,MIMAT0000062,6253,0.3453,qPCR,,
RC00000184,hsa-let-7a-5p,miRNA,Homo sapiens,Doxorubicin,compound,,MIMAT0000062,31703,0.4694,qRT-PCR//Western blot//qPCR//MTT assay,Microarray,
RC00000195,hsa-let-7a-5p,miRNA,Homo sapiens,Eloxatine,compound,,MIMAT0000062,5310940,0.4114,Western blot//qPCR,Microarray,
RC00000175,hsa-let-7a-5p,miRNA,Homo sapiens,Enoxacin,compound,,MIMAT0000062,3229,0.316,qPCR,,
RC00000187,hsa-let-7a-5p,miRNA,Homo sapiens,Epirubicin,compound,,MIMAT0000062,41867,0.3399,qPCR,,
RC00000186,hsa-let-7a-5p,miRNA,Homo sapiens,Etoposide,compound,,MIMAT0000062,36462,0.2534,qPCR,,
RC00000188,hsa-let-7a-5p,miRNA,Homo sapiens,Gemcitabine,compound,,MIMAT0000062,60750,0.5472,Northern blot//qRT-PCR//MTT assay,Microarray,
RC00000177,hsa-let-7a-5p,miRNA,Homo sapiens,Hydroxychloroquine,compound,,MIMAT0000062,3652,0.2381,qPCR,,
RC00000179,hsa-let-7a-5p,miRNA,Homo sapiens,Imatinib,compound,,MIMAT0000062,5291,0.4177,qRT-PCR//WST-1 assay//TaqMan qRT-PCR,Microarray,
RC00000196,hsa-let-7a-5p,miRNA,Homo sapiens,Interferon-gamma,compound,,MIMAT0000062,16197265,0.2564,qPCR//MTT assay,,
RC00000178,hsa-let-7a-5p,miRNA,Homo sapiens,Metformin,compound,,MIMAT0000062,4091,0.4137,qPCR,,
RC00000185,hsa-let-7a-5p,miRNA,Homo sapiens,Paclitaxel,compound,,MIMAT0000062,36314,0.4676,qRT-PCR//qPCR//MTT assay,Microarray,
RC00000190,hsa-let-7a-5p,miRNA,Homo sapiens,Polylysine,compound,,MIMAT0000062,162282,0.2385,qPCR,,
RC00000181,hsa-let-7a-5p,miRNA,Homo sapiens,Prednisone,compound,,MIMAT0000062,5865,0.2381,qPCR,,
RC00000183,hsa-let-7a-5p,miRNA,Homo sapiens,Trisenox,compound,,MIMAT0000062,14888,0.2159,qPCR,,
RC00000194,hsa-let-7a-5p,miRNA,Homo sapiens,Vitamin D3,compound,,MIMAT0000062,5280795,0.2179,qPCR,,
RC00006791,hsa-let-7b-3p,miRNA,Homo sapiens,Anthocyanin,compound,,MIMAT0004482,145858,0.2105,qPCR,,
RC00006793,hsa-let-7b-3p,miRNA,Homo sapiens,Caffeic acid,compound,,MIMAT0004482,689043,0.2105,qPCR,,
RC00006792,hsa-let-7b-3p,miRNA,Homo sapiens,Ferulic acid,compound,,MIMAT0004482,445858,0.2105,qPCR,,
RC00000210,hsa-let-7b-5p,miRNA,Homo sapiens,5-Fluorouracil,compound,,MIMAT0000063,3385,0.5511,qRT-PCR//MTT assay//Luciferase reporter assay,Microarray,
RC00000224,hsa-let-7b-5p,miRNA,Homo sapiens,Cetuximab,compound,,MIMAT0000063,91820602,0.4416,Northern blot//qPCR//MTT assay,,
RC00000208,hsa-let-7b-5p,miRNA,Homo sapiens,Cisplatin,compound,,MIMAT0000063,2767,0.6474,qRT-PCR//qPCR//MTT assay,Microarray//miRNA array,
RC00000214,hsa-let-7b-5p,miRNA,Homo sapiens,Doxorubicin,compound,,MIMAT0000063,31703,0.4005,qRT-PCR//Western blot//MTT assay//Luciferase reporter assay,Microarray,
RC00000209,hsa-let-7b-5p,miRNA,Homo sapiens,Enoxacin,compound,,MIMAT0000063,3229,0.3915,Northern blot//qPCR,Microarray,
