Raw_ID1,Raw_ID2,label
hsa_circ_0000907,222757,0
hsa_circ_0002965,123865,0
MIMAT0015320,45266826,0
MIMAT0000752,1832,0
hsa_circ_0000504,15951529,1
MIMAT0000449,9826528,0
MIMAT0003347,5743,0
MIMAT0003315,2051,0
MIMAT0001267,448013,0
hsa_circ_0005655,1176,0
MIMAT0002175,5280795,0
hsa_circ_0092303,15951529,1
101928168,5282350,0
MIMAT0048651,5288826,1
100131564,387447,0
hsa_circ_0047663,15951529,1
MIMAT0003121,3652,0
MIMAT0000265,36314,1
hsa_circ_0084615,15951529,1
MIMAT0000786,1207,0
hsa_circ_0002113,1673,0
MIMAT0000385,5035,0
MIMAT0000270,60750,1
hsa_circ_0048775,21109,0
MIMAT0004853,42890,0
MIMAT0001705,24268,1
646576,5959,0
hsa_circ_0008910,56649450,0
hsa_circ_0004032,123865,0
MIMAT0017080,444795,0
MIMAT0005795,3062316,0
MIMAT0002173,896,1
MIMAT0003276,5994,0
hsa_circ_0041523,36314,1
441242,439260,0
MIMAT0003303,3117,0
MIMAT0019740,2733,0
100144602,47289,0
hsa_circ_0070616,5943,0
MIMAT0000660,15,0
MIMAT0000542,2336,0
MIMAT0005797,442972,0
MIMAT0001706,3690,0
MIMAT0000789,6013,0
6605,638278,0
hsa_circ_0043469,4624,0
MIMAT0004284,5978,1
MIMAT0003235,2733526,0
MIMAT0000982,24497,0
hsa_circ_0087862,2733,0
hsa_circ_0026457,44259,0
MIMAT0000253,54671203,0
MIMAT0000432,60750,1
29940,11635763,0
MIMAT0000089,5329102,1
MIMAT0018188,53232,0
MIMAT0019032,31401,0
MIMAT0014005,24268,1
MIMAT0014990,2353,0
hsa_circ_0050581,5281811,0
hsa_circ_0082864,15951529,1
MIMAT0000653,5222465,0
MIMAT0001859,4033,0
MIMAT0000076,107985,1
MIMAT0019926,5281929,0
MIMAT0003762,47318,0
MIMAT0001635,3779,0
MIMAT0001538,123596,0
MIMAT0000081,5281811,0
MIMAT0005793,10621,0
100033431,3386,0
MIMAT0000987,442428,0
hsa_circ_0008432,5789,0
MIMAT0000369,11635763,0
MIMAT0004578,60780,0
hsa_circ_0061251,5755,0
MIMAT0000632,56843276,0
MIMAT0000754,21633059,0
MIMAT0012822,5280445,0
100507500,31101,0
MIMAT0005945,5959,0
245,4033,0
MIMAT0001809,56843276,0
MIMAT0004672,89594,0
MIMAT0005319,3103,0
hsa_circ_0076413,15951529,1
892,5282350,0
MIMAT0018074,31703,1
101928414,1176,0
MIMAT0000132,5538,0
MIMAT0005949,657237,0
MIMAT0003885,6115,0
MIMAT0004719,3779,1
MIMAT0000076,6857599,1
MIMAT0014005,54454,0
MIMAT0003274,60780,0
MIMAT0003479,443586,1
hsa_circ_0050055,43815,0
MIMAT0005576,9064,0
MIMAT0003465,3821,0
MIMAT0000252,3385,1
hsa_circ_0000471,2723601,0
MIMAT0004284,17754356,0
MIMAT0001367,6036,0
hsa_circ_0004087,261000,0
MIMAT0005442,451668,0
MIMAT0003283,2236,0
MIMAT0001364,24268,1
MIMAT0000729,123631,1
MIMAT0004507,14888,0
MIMAT0001772,439260,0
MIMAT0002874,5997,0
MIMAT0000076,44259,1
MIMAT0004841,449171,0
101928399,6623,0
MIMAT0000077,38904,1
MIMAT0000703,31703,1
hsa_circ_0082864,5459308,0
100033421,5280343,0
hsa_circ_0082864,23725625,0
MIMAT0005898,387447,1
MIMAT0002853,9444,0
hsa_circ_0002082,5284583,0
MIMAT0003315,216326,0
MIMAT0001868,4095,0
MIMAT0004503,104758,0
hsa_circ_0007149,15951529,1
MIMAT0000652,6036,1
MIMAT0005823,5310940,1
MIMAT0019956,6001,0
hsa_circ_0040203,176870,0
MIMAT0000278,60838,0
MIMAT0003227,712,0
hsa_circ_0048856,91820602,0
hsa_circ_0030998,24268,0
MIMAT0000617,126941,1
MIMAT0005883,667639,0
