Raw_ID1,Raw_ID2,label
MIMAT0005327,23725625,0
MIMAT0001076,445858,0
MIMAT0014001,4158,0
MIMAT0000787,6918837,0
MIMAT0000375,9444,0
MIMAT0000537,119307,0
MIMAT0003490,124886,0
ENSG00000255237,16197265,0
MIMAT0000140,5757,0
MIMAT0000189,126941,0
102467146,5281004,0
hsa_circ_0087564,4641,0
MIMAT0015325,97226,0
102724077,5361,0
MIMAT0004216,145858,0
MIMAT0000723,5283344,0
hsa_circ_0009582,6037,0
MIMAT0000775,72301,0
hsa_circ_0005974,11626560,0
hsa_circ_0006941,16078949,0
100652997,1832,0
MIMAT0000279,65015,0
100505938,5394,1
MIMAT0000540,5793,0
MIMAT0003333,2733526,1
MIMAT0005280,138374198,0
hsa_circ_0078150,15951529,1
100033433,9700,0
101927102,3345,0
hsa_circ_0079163,445154,0
MIMAT0000225,4158,0
hsa_circ_0005418,11433190,0
hsa_circ_0019088,2051,0
hsa_circ_0000074,49803145,0
MIMAT0000428,46843772,0
101929120,3385,0
MIMAT0000461,60750,1
hsa_circ_0068464,23939,0
hsa_circ_0003438,29327,0
MIMAT0000099,5280445,0
MIMAT0005966,3652,0
hsa_circ_0001178,4763,0
MIMAT0003235,5865,0
51560,5950,0
MIMAT0019721,5459308,0
MIMAT0004628,104746,0
MIMAT0004955,37542,0
hsa_circ_0086241,445580,0
100287498,2578,0
hsa_circ_0006528,24978538,0
MIMAT0003314,1175,0
100996645,451668,0
7473,2723601,0
MIMAT0006778,2578,0
MIMAT0000069,5978,1
MIMAT0005595,3779,1
MIMAT0000899,74483,1
MIMAT0003130,126941,0
hsa_circ_0008910,3062316,0
MIMAT0000449,2520,1
MIMAT0000223,5284616,1
MIMAT0004848,1130,0
MIMAT0004947,4095,0
MIMAT0000813,3101,0
MIMAT0014012,5284616,0
hsa_circ_0001818,2733526,0
5728,2187,0
hsa_circ_0002987,445434,0
MIMAT0001372,445639,0
hsa_circ_0000500,15951529,1
100126299,455658,0
hsa_circ_0008518,15951529,1
MIMAT0000257,25262965,0
MIMAT0002847,2995,0
MIMAT0005826,6013,1
MIMAT0004234,135403648,0
100144597,21109,0
MIMAT0001625,5288826,0
hsa_circ_0002131,104842,0
MIMAT0000259,24978538,0
MIMAT0005922,124886,0
MIMAT0005901,702,0
100130717,5281811,0
MIMAT0001547,445154,1
hsa_circ_0032154,162282,0
MIMAT0000757,452548,0
MIMAT0017950,44259,0
MIMAT0000257,1130,0
MIMAT0003322,135403648,1
MIMAT0018121,119307,0
26751,222757,0
MIMAT0000264,9444,1
101929423,3397,0
hsa_circ_0001811,5352624,0
hsa_circ_0004029,97226,0
hsa_circ_0000773,5816,0
hsa_circ_0078605,2187,0
MIMAT0000261,2187,0
100616668,42890,0
MIMAT0004498,2578,0
