RNAInterID,Interactor1.Symbol,Category1,Species1,Interactor2.Symbol,Category2,Species2,Raw_ID1,Raw_ID2,score,strong,weak,predict
RC00000070,GIHCG,lncRNA,Homo sapiens,Vincristine,compound,,100506844,5978,0.2196,,RNA-seq,
RC00000081,LINC01285,lncRNA,Homo sapiens,Vincristine,compound,,101928287,5978,0.2196,,RNA-seq,
RC00000073,SENP3-EIF4A1,ncRNA,Homo sapiens,Vincristine,compound,,100533955,5978,0.2196,,RNA-seq,
RC00000056,VTRNA2-1,others,Homo sapiens,Vincristine,compound,,100126299,5978,0.2196,,RNA-seq,
RC00001364,ath-miR156a-5p,miRNA,Arabidopsis thaliana,Glyphosate,compound,,MIMAT0000166,3496,0.2238,,Microarray,
RC00001365,ath-miR156b-5p,miRNA,Arabidopsis thaliana,Glyphosate,compound,,MIMAT0000167,3496,0.2238,,Microarray,
RC00001366,ath-miR156c-5p,miRNA,Arabidopsis thaliana,Glyphosate,compound,,MIMAT0000168,3496,0.2238,,Microarray,
RC00001368,ath-miR159a,miRNA,Arabidopsis thaliana,Glyphosate,compound,,MIMAT0000177,3496,0.2238,,Microarray,
RC00001386,ath-miR159b-3p,miRNA,Arabidopsis thaliana,Glyphosate,compound,,MIMAT0000207,3496,0.2238,,Microarray,
RC00004831,ath-miR159c,miRNA,Arabidopsis thaliana,Glyphosate,compound,,MIMAT0001015,3496,0.2238,,Microarray,
RC00001369,ath-miR164a,miRNA,Arabidopsis thaliana,Abscisic acid (ABA),compound,,MIMAT0000185,5280896,0.2415,,Microarray,
RC00001372,ath-miR165a-3p,miRNA,Arabidopsis thaliana,Abscisic acid (ABA),compound,,MIMAT0000187,5280896,0.2415,,Microarray,
RC00001374,ath-miR166a-3p,miRNA,Arabidopsis thaliana,Abscisic acid (ABA),compound,,MIMAT0000189,5280896,0.2415,,Microarray,
RC00001377,ath-miR167a-5p,miRNA,Arabidopsis thaliana,Abscisic acid (ABA),compound,,MIMAT0000196,5280896,0.2415,,Microarray,
RC00003358,ath-miR319a,miRNA,Arabidopsis thaliana,Abscisic acid (ABA),compound,,MIMAT0000511,5280896,0.2415,,Microarray,
RC00004821,ath-miR393a-5p,miRNA,Arabidopsis thaliana,Glyphosate,compound,,MIMAT0000934,3496,0.2238,,Microarray,
RC00006768,ath-miR854a,miRNA,Arabidopsis thaliana,Glyphosate,compound,,MIMAT0004280,3496,0.2238,,Microarray,
RC00007654,bna-miR164a,miRNA,Brassica napus,Glyphosate,compound,,MIMAT0005633,3496,0.2238,,Microarray,
RC00008623,bna-miR164c,miRNA,Brassica napus,Glyphosate,compound,,MIMAT0023623,3496,0.2238,,Microarray,
RC00007539,cel-miR-1018,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0005031,89594,0.1226,,Microarray,
RC00007593,cel-miR-1022-5p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0005523,89594,0.1226,,Microarray,
RC00007880,cel-miR-1817,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0006584,89594,0.1226,,Microarray,
RC00007881,cel-miR-1820-5p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0006587,89594,0.1226,,Microarray,
RC00007882,cel-miR-1821-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0006588,89594,0.1226,,Microarray,
RC00007899,cel-miR-1829b-5p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0006770,89594,0.1226,,Microarray,
RC00007900,cel-miR-1833,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0006775,89594,0.1226,,Microarray,
RC00007992,cel-miR-2209a-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0011432,89594,0.1226,,Microarray,
RC00007993,cel-miR-2210-5p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0011435,89594,0.1226,,Microarray,
RC00007994,cel-miR-2215-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0011446,89594,0.1226,,Microarray,
RC00007995,cel-miR-2216-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0011448,89594,0.1226,,Microarray,
RC00002248,cel-miR-2220-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0011462,89594,0.1226,,Microarray,
RC00008161,cel-miR-230-5p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0015113,89594,0.1226,,Microarray,
RC00002277,cel-miR-235-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0000290,89594,0.1226,,Microarray,
RC00002278,cel-miR-241-5p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0000297,89594,0.1226,,Microarray,
RC00002279,cel-miR-242,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0000298,89594,0.1226,,Microarray,
RC00002280,cel-miR-243-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0000299,89594,0.1226,,Microarray,
RC00006755,cel-miR-255-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0004216,89594,0.1226,,Microarray,
RC00002282,cel-miR-259-5p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0000314,89594,0.1226,,Microarray,
RC00008162,cel-miR-358-5p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0015120,89594,0.1226,,Microarray,
RC00000164,cel-miR-38-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0000009,89594,0.1226,,Microarray,
RC00008160,cel-miR-47-5p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0015097,89594,0.1226,,Microarray,
RC00000165,cel-miR-49-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0000020,89594,0.1226,,Microarray,
RC00000166,cel-miR-54-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0000025,89594,0.1226,,Microarray,
RC00000167,cel-miR-55-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0000026,89594,0.1226,,Microarray,
RC00000168,cel-miR-58a-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0000030,89594,0.1226,,Microarray,
RC00000169,cel-miR-76-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0000048,89594,0.1226,,Microarray,
RC00006756,cel-miR-785-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0004220,89594,0.1226,,Microarray,
RC00006757,cel-miR-789-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0004224,89594,0.1226,,Microarray,
RC00000170,cel-miR-79-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0000051,89594,0.1226,,Microarray,
RC00006758,cel-miR-794-5p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0004229,89594,0.1226,,Microarray,
RC00006759,cel-miR-798,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0004233,89594,0.1226,,Microarray,
RC00006760,cel-miR-799,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0004234,89594,0.1226,,Microarray,
RC00000171,cel-miR-80-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0000053,89594,0.1226,,Microarray,
RC00006761,cel-miR-800-3p,miRNA,Caenorhabditis elegans,Nicotine,compound,,MIMAT0004235,89594,0.1226,,Microarray,
