RNAInterID	Interactor1.Symbol	Category1	Species1	Interactor2.Symbol	Category2	Species2	Raw_ID1	Raw_ID2	score	strong	weak	predict
RC00008664	AC006050.3	lncRNA	Homo sapiens	Cisplatin	compound	N/A	N/A	CID:2767	0.2179	qPCR	Microarray	N/A
RC00000102	AC008443.5	lncRNA	Homo sapiens	Gemcitabine	compound	N/A	Ensembl:ENSG00000250222	CID:60750	0.3071	qRT-PCR	Microarray	N/A
RC00008665	AC015818.3	lncRNA	Homo sapiens	Cisplatin	compound	N/A	N/A	CID:2767	0.2179	qPCR	Microarray	N/A
RC00000100	AC019163.1	lncRNA	Homo sapiens	Gemcitabine	compound	N/A	Ensembl:ENSG00000248980	CID:60750	0.3071	qRT-PCR	Microarray	N/A
RC00008666	AC022596.2	lncRNA	Homo sapiens	Cisplatin	compound	N/A	N/A	CID:2767	0.2179	qPCR	Microarray	N/A
RC00008667	AC022596.6	lncRNA	Homo sapiens	Cisplatin	compound	N/A	N/A	CID:2767	0.2179	qPCR	Microarray	N/A
RC00000101	AC084048.1	lncRNA	Homo sapiens	Gemcitabine	compound	N/A	Ensembl:ENSG00000249334	CID:60750	0.3071	qRT-PCR	Microarray	N/A
RC00008668	AC090952.4.1	lncRNA	Homo sapiens	Cisplatin	compound	N/A	N/A	CID:2767	0.3235	qRT-PCR//MTS assay	Microarray	N/A
RC00000105	AC097381.2	lncRNA	Homo sapiens	Vincristine	compound	N/A	Ensembl:ENSG00000251460	CID:5978	0.2196	N/A	RNA-seq	N/A
RC00000104	AC097652.1	lncRNA	Homo sapiens	Gemcitabine	compound	N/A	Ensembl:ENSG00000250658	CID:60750	0.3071	qRT-PCR	Microarray	N/A
RC00000108	AC104041.1	lncRNA	Homo sapiens	Cisplatin	compound	N/A	Ensembl:ENSG00000259692	CID:2767	0.2179	qPCR	Microarray	N/A
RC00000099	AC105415.1	lncRNA	Homo sapiens	Vincristine	compound	N/A	Ensembl:ENSG00000248516	CID:5978	0.2196	N/A	RNA-seq	N/A
RC00000114	AC108134.4	lncRNA	Homo sapiens	Cisplatin	compound	N/A	Ensembl:ENSG00000263011	CID:2767	0.2179	qPCR	Microarray	N/A
RC00000094	AC130456.2	lncRNA	Homo sapiens	Cisplatin	compound	N/A	Ensembl:ENSG00000259925	CID:2767	0.2179	qPCR	Microarray	N/A
RC00000112	AC134312.5	lncRNA	Homo sapiens	Doxorubicin	compound	N/A	Ensembl:ENSG00000261327	CID:31703	0.3087	qRT-PCR//MTT assay	Microarray	N/A
RC00000106	AC138230.1	lncRNA	Homo sapiens	Doxorubicin	compound	N/A	Ensembl:ENSG00000255237	CID:31703	0.3087	MTT assay	Microarray	N/A
RC00008759	AC144449.1	lncRNA	Homo sapiens	Gemcitabine	compound	N/A	N/A	CID:60750	0.3071	qRT-PCR	Microarray	N/A
RC00008760	AF086204	lncRNA	Homo sapiens	Gemcitabine	compound	N/A	N/A	CID:60750	0.3071	qRT-PCR	Microarray	N/A
RC00008669	AK022798	lncRNA	Homo sapiens	Cisplatin	compound	N/A	N/A	CID:2767	0.4129	qPCR	N/A	N/A
RC00008670	AK123263	lncRNA	Homo sapiens	Cisplatin	compound	N/A	N/A	CID:2767	0.3235	qRT-PCR//MTS assay	Microarray	N/A
RC00008671	AK125699	lncRNA	Homo sapiens	Cisplatin	compound	N/A	N/A	CID:2767	0.2179	qPCR	Microarray	N/A
RC00008672	AK126698	lncRNA	Homo sapiens	Cisplatin	compound	N/A	N/A	CID:2767	0.3235	qRT-PCR//MTS assay	Microarray	N/A
RC00008673	AK293020	lncRNA	Homo sapiens	Cisplatin	compound	N/A	N/A	CID:2767	0.2179	qPCR	Microarray	N/A
RC00000096	AL021707.1	lncRNA	Homo sapiens	Cisplatin	compound	N/A	Ensembl:ENSG00000225450	CID:2767	0.3235	qRT-PCR//MTS assay	Microarray	N/A
RC00000107	AL136018.1	lncRNA	Homo sapiens	Cisplatin	compound	N/A	Ensembl:ENSG00000258657	CID:2767	0.2179	qPCR	Microarray	N/A
RC00000109	AL365361.1	lncRNA	Homo sapiens	Cisplatin	compound	N/A	Ensembl:ENSG00000259834	CID:2767	0.2179	qPCR	Microarray	N/A
RC00000095	AL390205.1	pseudo	Homo sapiens	Gefitinib	compound	N/A	Ensembl:ENSG00000205695	CID:123631	0.3168	qRT-PCR	N/A	N/A
RC00000098	AP000221.1	lncRNA	Homo sapiens	Gemcitabine	compound	N/A	Ensembl:ENSG00000229962	CID:60750	0.3071	qRT-PCR	Microarray	N/A
RC00000111	AP000766.1	lncRNA	Homo sapiens	Vincristine	compound	N/A	Ensembl:ENSG00000261098	CID:5978	0.2196	N/A	RNA-seq	N/A
RC00000110	AP003469.4	lncRNA	Homo sapiens	Doxorubicin	compound	N/A	Ensembl:ENSG00000261087	CID:31703	0.3087	qRT-PCR//MTT assay	Microarray	N/A
RC00008720	ARA	lncRNA	Homo sapiens	Doxorubicin	compound	N/A	N/A	CID:31703	0.3712	qRT-PCR	N/A	N/A
RC00000061	BACE1-AS	lncRNA	Homo sapiens	5-Fluorouracil	compound	N/A	NCBI:100379571	CID:3385	0.4322	qRT-PCR	N/A	N/A
