FPR,TPR
1.039020717144012451e-03,7.865618169307708740e-02
2.628636313602328300e-03,5.286324024200439453e-01
5.390846636146306992e-03,1.378558576107025146e-01
7.583274506032466888e-03,1.556141078472137451e-01
9.734413586556911469e-03,2.029763460159301758e-01
1.198051683604717255e-02,1.822494268417358398e-01
1.389218401163816452e-02,4.013147056102752686e-01
1.639014668762683868e-02,2.000035643577575684e-01
1.846283860504627228e-02,3.036133348941802979e-01
2.078738994896411896e-02,2.266388833522796631e-01
2.276511862874031067e-02,3.983377814292907715e-01
2.498231828212738037e-02,3.983336389064788818e-01
2.736467495560646057e-02,2.799136340618133545e-01
2.941259369254112244e-02,4.012857973575592041e-01
3.169585764408111572e-02,3.539153337478637695e-01
3.384286537766456604e-02,4.042379260063171387e-01
3.579169511795043945e-02,5.966596603393554688e-01
3.828139603137969971e-02,4.012692868709564209e-01
4.049446806311607361e-02,4.042255580425262451e-01
4.271579906344413757e-02,4.012610316276550293e-01
4.492887109518051147e-02,4.042172729969024658e-01
4.714607447385787964e-02,4.042131602764129639e-01
4.936327412724494934e-02,4.042090177536010742e-01
5.158047750592231750e-02,4.042049050331115723e-01
5.366142466664314270e-02,5.018938779830932617e-01
5.574650689959526062e-02,5.966224670410156250e-01
5.809582769870758057e-02,5.018855929374694824e-01
6.044927984476089478e-02,4.041883945465087891e-01
6.253022700548171997e-02,5.018773674964904785e-01
6.461118161678314209e-02,5.995663404464721680e-01
6.655588001012802124e-02,7.949483990669250488e-01
6.904558837413787842e-02,5.995581150054931641e-01
7.126691192388534546e-02,5.965935587882995605e-01
7.320748269557952881e-02,7.949360013008117676e-01
7.542468607425689697e-02,7.949318885803222656e-01
7.777400314807891846e-02,7.001950740814208984e-01
8.012745529413223267e-02,6.024978160858154297e-01
8.234879374504089355e-02,5.995333194732666016e-01
8.456186205148696899e-02,6.024895906448364258e-01
8.629598468542098999e-02,9.488519430160522461e-01
8.900039643049240112e-02,5.995209217071533203e-01
9.121759980916976929e-02,5.995168089866638184e-01
9.316229075193405151e-02,7.948988676071166992e-01
9.565612673759460449e-02,5.965481996536254883e-01
9.758843481540679932e-02,8.008114099502563477e-01
1.000864058732986450e-01,5.995002985000610352e-01
1.020228341221809387e-01,8.008031845092773438e-01
1.047561466693878174e-01,4.307493865489959717e-01
1.069733500480651855e-01,4.307452440261840820e-01
1.089510768651962280e-01,6.024441719055175781e-01
1.110320240259170532e-01,7.001331448554992676e-01
1.132492274045944214e-01,7.001289725303649902e-01
1.157059073448181152e-01,5.284218192100524902e-01
1.178240105509757996e-01,5.994672775268554688e-01
1.200412139296531677e-01,5.994631648063659668e-01
1.223533749580383301e-01,5.313698649406433105e-01
1.244797483086585999e-01,5.964944958686828613e-01
1.268744915723800659e-01,4.691932499408721924e-01
1.290008425712585449e-01,5.343178510665893555e-01
1.311313360929489136e-01,5.964820981025695801e-01
1.333485394716262817e-01,5.964779853820800781e-01
1.357226520776748657e-01,4.839787185192108154e-01
1.379315853118896484e-01,4.898954033851623535e-01
1.400001496076583862e-01,5.964655876159667969e-01
1.422173529863357544e-01,5.964614748954772949e-01
1.444345563650131226e-01,5.964573621749877930e-01
1.466517448425292969e-01,5.964531898498535156e-01
1.488648205995559692e-01,5.994094610214233398e-01
1.510778963565826416e-01,6.023657321929931641e-01
1.532950997352600098e-01,6.023615598678588867e-01
1.555205583572387695e-01,5.964366793632507324e-01
1.577377617359161377e-01,5.964325666427612305e-01
1.599508374929428101e-01,5.993888378143310547e-01
1.621721535921096802e-01,5.964242815971374512e-01
1.645049750804901123e-01,5.135290026664733887e-01
1.667139232158660889e-01,5.194457173347473145e-01
1.689269840717315674e-01,5.224019885063171387e-01
1.710409671068191528e-01,5.964077711105346680e-01
1.729815453290939331e-01,7.947502136230468750e-01
1.753308773040771484e-01,7.000133991241455078e-01
1.776925623416900635e-01,5.963954329490661621e-01
1.800873130559921265e-01,4.690941870212554932e-01
1.822095513343811035e-01,5.371791720390319824e-01
1.843813359737396240e-01,5.697394609451293945e-01
1.865572482347488403e-01,5.993392467498779297e-01
1.888487786054611206e-01,5.460479855537414551e-01
1.912641674280166626e-01,4.039447903633117676e-01
1.932790428400039673e-01,5.490001440048217773e-01
1.954921185970306396e-01,5.519563555717468262e-01
1.978373080492019653e-01,4.601799547672271729e-01
2.001370936632156372e-01,4.009678959846496582e-01
2.022758424282073975e-01,4.572112858295440674e-01
2.042989879846572876e-01,5.963458418846130371e-01
2.065450996160507202e-01,5.756189227104187012e-01
2.087622880935668945e-01,5.756148099899291992e-01
2.109753638505935669e-01,5.785710215568542480e-01
2.131636589765548706e-01,5.992897152900695801e-01
2.156616300344467163e-01,3.979785740375518799e-01
2.178747057914733887e-01,4.009348452091217041e-01
2.199721634387969971e-01,4.867822527885437012e-01
2.220572531223297119e-01,5.815107822418212891e-01
2.239689081907272339e-01,8.005760908126831055e-01
2.261943668127059937e-01,7.946511507034301758e-01
2.283000946044921875e-01,8.745777010917663574e-01
2.306246459484100342e-01,7.976033091545104980e-01
2.328459769487380981e-01,7.946387529373168945e-01
2.353356778621673584e-01,5.992484688758850098e-01
2.371689081192016602e-01,8.745611906051635742e-01
2.400425821542739868e-01,4.038539528846740723e-01
2.422597855329513550e-01,4.038498103618621826e-01
2.442044764757156372e-01,5.992318987846374512e-01
2.464134246110916138e-01,6.051485538482666016e-01
2.483581304550170898e-01,8.005306720733642578e-01
2.504720985889434814e-01,8.745364546775817871e-01
2.527925372123718262e-01,8.005223870277404785e-01
2.552657127380371094e-01,6.169736385345458984e-01
2.575077116489410400e-01,5.992071628570556641e-01
2.597290277481079102e-01,5.962426662445068359e-01
2.619462311267852783e-01,5.962384939193725586e-01
2.638785243034362793e-01,8.005017638206481934e-01
2.663269340991973877e-01,6.347153782844543457e-01
2.683129310607910156e-01,8.004934787750244141e-01
2.705383896827697754e-01,7.945685386657714844e-01
2.728587985038757324e-01,7.205545306205749512e-01
2.749645411968231201e-01,8.004811406135559082e-01
2.774583697319030762e-01,6.021303534507751465e-01
2.796755731105804443e-01,6.021262407302856445e-01
2.819010317325592041e-01,5.962013602256774902e-01
2.841182351112365723e-01,5.961972475051879883e-01
2.863313257694244385e-01,5.991534590721130371e-01
2.884989678859710693e-01,6.346740722656250000e-01
2.907615900039672852e-01,6.021056175231933594e-01
2.924668192863464355e-01,9.691907167434692383e-01
2.954725921154022217e-01,4.037507176399230957e-01
2.969053387641906738e-01,9.662220478057861328e-01
2.999069988727569580e-01,4.037424623966217041e-01
3.021242022514343262e-01,4.037383496761322021e-01
3.043414056301116943e-01,4.037342071533203125e-01
3.064223825931549072e-01,5.014231801033020020e-01
3.085074424743652344e-01,5.961518287658691406e-01
